outer_fold,training_scenario,scenario,test_subset,representation,configuration,run_seed,real_pair_count,same_master_invariant,different_instrument_invariant,same_target_invariant,source_partner_mse,swap_source_mse,swap_partner_mse,standard_reconstruction_source_mse,source_partner_median_correlation,swap_source_median_correlation,swap_partner_median_correlation,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change,artifact
0,nato_outer_o0__train_quality_pass,nato_outer_o0__train_quality_pass__test_quality_pass,quality_pass,arpls_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,2000788738,100,True,True,True,0.06237158924341202,0.039307814091444016,0.01690821349620819,0.0029950891621410847,0.2774648070335388,0.6918001174926758,0.8060990571975708,0.016908214401039446,0.008454107200519723,0.13804973686080013,0.8060989676882074,0.014064053345295644,0.5060658578856152,2.0,0.4383396057317513,0.07148098794277757,swaps/locked_outer__nato_outer_o0__train_quality_pass__test_quality_pass__arpls_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
0,nato_outer_o0__train_quality_pass,nato_outer_o0__train_quality_pass__test_quality_pass,quality_pass,minimal_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,567672599,100,True,True,True,0.10216770321130753,0.029663318768143654,0.0697171688079834,0.002983122831210494,0.14819957315921783,0.7015373110771179,0.5844621658325195,0.06971716740379388,0.03485858370189694,0.1849411188124002,0.5844622115268656,0.012689629308973667,0.6746987951807228,2.0,0.4332602135914101,0.08547981083393097,swaps/locked_outer__nato_outer_o0__train_quality_pass__test_quality_pass__minimal_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
1,nato_outer_o1__train_quality_pass,nato_outer_o1__train_quality_pass__test_quality_pass,quality_pass,arpls_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,1085417961,102,True,True,True,0.06099633499979973,0.0278631541877985,0.025432569906115532,0.0027741151861846447,0.3763413727283478,0.9036238193511963,0.5328279137611389,0.025432569968508303,0.012716284984254152,0.19760027480963077,0.5328278853102552,0.014065477789713341,0.552158273381295,2.0,0.34121598957687505,0.10452248307410628,swaps/locked_outer__nato_outer_o1__train_quality_pass__test_quality_pass__arpls_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
1,nato_outer_o1__train_quality_pass,nato_outer_o1__train_quality_pass__test_quality_pass,quality_pass,minimal_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,221457788,102,True,True,True,0.08807940036058426,0.02014528587460518,0.06280328333377838,0.0030487338081002235,0.16349849104881287,0.8179967403411865,0.5221534967422485,0.0628032828146184,0.0314016414073092,0.19869465547822932,0.522153486413193,0.01112502388675682,0.6826923076923077,2.0,0.3804850168255695,0.09337988495826721,swaps/locked_outer__nato_outer_o1__train_quality_pass__test_quality_pass__minimal_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
2,nato_outer_o2__train_quality_pass,nato_outer_o2__train_quality_pass__test_quality_pass,quality_pass,arpls_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,2084487435,91,True,True,True,0.06888394057750702,0.009090042673051357,0.056543752551078796,0.004368719644844532,0.16917435824871063,0.8913081288337708,0.35162433981895447,0.056543752351693045,0.028271876175846523,0.23024593653144487,0.3516243132870302,0.015849024842396853,0.37565217391304345,2.0,0.4288142170048068,0.11100147507386282,swaps/locked_outer__nato_outer_o2__train_quality_pass__test_quality_pass__arpls_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
2,nato_outer_o2__train_quality_pass,nato_outer_o2__train_quality_pass__test_quality_pass,quality_pass,minimal_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,512171905,91,True,True,True,0.09517193585634232,0.030702626332640648,0.05963188409805298,0.0036325438413769007,0.26926612854003906,0.7795047163963318,0.5858824253082275,0.059631884589657784,0.029815942294828892,0.1775317718579558,0.5858824408120539,0.015150163970016317,0.4766081871345029,2.0,0.6142680622916675,0.08529190253466368,swaps/locked_outer__nato_outer_o2__train_quality_pass__test_quality_pass__minimal_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
3,nato_outer_o3__train_quality_pass,nato_outer_o3__train_quality_pass__test_quality_pass,quality_pass,arpls_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,1113612604,100,True,True,True,0.05634482949972153,0.016118865460157394,0.03576558828353882,0.004441621247678995,0.37950247526168823,0.8909282684326172,0.6218709945678711,0.035765587447127115,0.017882793723563557,0.17685260188937846,0.6218710022825455,0.01329338880458141,0.43989431968295906,2.0,0.35805443298914574,0.07274106610566378,swaps/locked_outer__nato_outer_o3__train_quality_pass__test_quality_pass__arpls_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
3,nato_outer_o3__train_quality_pass,nato_outer_o3__train_quality_pass__test_quality_pass,quality_pass,minimal_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,1956209121,100,True,True,True,0.08602644503116608,0.04588610678911209,0.029171379283070564,0.0036137725692242384,0.2856767773628235,0.6665074229240417,0.6822875738143921,0.029171378377817622,0.014585689188908811,0.15623213021573126,0.6822875067224279,0.01312987928092267,0.6089238845144357,2.0,0.3841189935629472,0.09056719159707427,swaps/locked_outer__nato_outer_o3__train_quality_pass__test_quality_pass__minimal_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
4,nato_outer_o4__train_quality_pass,nato_outer_o4__train_quality_pass__test_quality_pass,quality_pass,arpls_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,1913597310,95,True,True,True,0.06495336443185806,0.03112214244902134,0.02359931357204914,0.0031671635806560516,0.4615875780582428,0.8175719976425171,0.8563584089279175,0.023599312837118847,0.011799656418559424,0.13307105184417883,0.8563585070718516,0.012488587209393696,0.5348101265822784,2.0,0.24655229179635096,0.06334612518548965,swaps/locked_outer__nato_outer_o4__train_quality_pass__test_quality_pass__arpls_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
4,nato_outer_o4__train_quality_pass,nato_outer_o4__train_quality_pass__test_quality_pass,quality_pass,minimal_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,537973679,95,True,True,True,0.08150122314691544,0.05483143404126167,0.019925110042095184,0.0024607323575764894,0.420232355594635,0.7310379147529602,0.797440767288208,0.01992511141742405,0.009962555708712025,0.1345163366060014,0.7974406975395502,0.012433967069073489,0.6086956521739131,2.0,0.3273842996182088,0.07213713962119073,swaps/locked_outer__nato_outer_o4__train_quality_pass__test_quality_pass__minimal_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
0,nato_outer_o0__train_strict_core,nato_outer_o0__train_strict_core__test_strict_core,strict_core,arpls_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,419659223,118,True,True,True,0.06649515777826309,0.01007048785686493,0.05430768057703972,0.004550903104245663,0.22308731079101562,0.8466459512710571,0.5051072835922241,0.054307677893501057,0.027153838946750528,0.20031759803296215,0.5051073467957679,0.01897838967560684,0.5316455696202531,2.0,0.3981659131208525,0.0874455648008734,swaps/locked_outer__nato_outer_o0__train_strict_core__test_strict_core__arpls_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
0,nato_outer_o0__train_strict_core,nato_outer_o0__train_strict_core__test_strict_core,strict_core,minimal_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,138169565,118,True,True,True,0.08764555305242538,0.018605999648571014,0.06832480430603027,0.004808437079191208,0.156887948513031,0.8024600744247437,0.43750715255737305,0.06832480492467657,0.03416240246233829,0.20028166706908937,0.43750718194411287,0.018386180446932132,0.605543710021322,2.0,0.5788341337526091,0.10093259811401367,swaps/locked_outer__nato_outer_o0__train_strict_core__test_strict_core__minimal_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
1,nato_outer_o1__train_strict_core,nato_outer_o1__train_strict_core__test_strict_core,strict_core,arpls_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,1118453335,117,True,True,True,0.062486689537763596,0.009575450792908669,0.047164350748062134,0.004152659792453051,0.16459397971630096,0.8499776124954224,0.42955437302589417,0.04716435349428638,0.02358217674714319,0.21387632444569116,0.429554407841207,0.017500868526757293,0.42823529411764705,2.0,0.39825080398268176,0.09331593452952802,swaps/locked_outer__nato_outer_o1__train_strict_core__test_strict_core__arpls_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
1,nato_outer_o1__train_strict_core,nato_outer_o1__train_strict_core__test_strict_core,strict_core,minimal_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,754251477,117,True,True,True,0.08293108642101288,0.032194510102272034,0.04120495915412903,0.004979482386261225,0.12018592655658722,0.6557244658470154,0.5706223249435425,0.04120496019393338,0.02060248009696669,0.17382885193987796,0.5706222890596719,0.016058345538295212,0.5106382978723404,2.0,0.47275372817713873,0.10803662985563278,swaps/locked_outer__nato_outer_o1__train_strict_core__test_strict_core__minimal_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
2,nato_outer_o2__train_strict_core,nato_outer_o2__train_strict_core__test_strict_core,strict_core,arpls_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,1261876101,117,True,True,True,0.06607908755540848,0.03419732302427292,0.02590714767575264,0.00654890900477767,0.22346852719783783,0.7899558544158936,0.42277780175209045,0.02590714707555443,0.012953573537777215,0.18053162685180926,0.4227777812570582,0.021911730260853277,0.3544018058690745,2.0,0.4393131466983061,0.10250297281891108,swaps/locked_outer__nato_outer_o2__train_strict_core__test_strict_core__arpls_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
2,nato_outer_o2__train_strict_core,nato_outer_o2__train_strict_core__test_strict_core,strict_core,minimal_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,1620925702,117,True,True,True,0.09082873165607452,0.045798592269420624,0.041280489414930344,0.0069887093268334866,0.15560412406921387,0.6964859962463379,0.37667179107666016,0.04128048954469116,0.02064024477234558,0.18275108778719418,0.37667179293954517,0.022358481799114288,0.42905982905982903,2.0,0.7191616681419611,0.09148505260236561,swaps/locked_outer__nato_outer_o2__train_strict_core__test_strict_core__minimal_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
3,nato_outer_o3__train_strict_core,nato_outer_o3__train_strict_core__test_strict_core,strict_core,arpls_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,205628282,119,True,True,True,0.07192505151033401,0.011158948764204979,0.0561344288289547,0.005806389264762402,0.2046894133090973,0.8737708926200867,0.4201727509498596,0.05613443070313999,0.028067215351569995,0.20514970503979438,0.42017273343040673,0.020421898365640376,0.46296296296296297,2.0,0.4095301058276927,0.08474241197109222,swaps/locked_outer__nato_outer_o3__train_strict_core__test_strict_core__arpls_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
3,nato_outer_o3__train_strict_core,nato_outer_o3__train_strict_core__test_strict_core,strict_core,minimal_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,1940915614,119,True,True,True,0.09337973594665527,0.01618156023323536,0.07171651721000671,0.006343135144561529,0.18981081247329712,0.8781617879867554,0.3247528374195099,0.07171651379450658,0.03585825689725329,0.20730559685990485,0.32475284102694146,0.017189848248766185,0.5743707093821511,2.0,0.4831629192906856,0.09606556640937924,swaps/locked_outer__nato_outer_o3__train_strict_core__test_strict_core__minimal_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
4,nato_outer_o4__train_strict_core,nato_outer_o4__train_strict_core__test_strict_core,strict_core,arpls_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,1657957641,124,True,True,True,0.06341591477394104,0.03904718905687332,0.017510803416371346,0.005769988521933556,0.2681471109390259,0.5153254270553589,0.8035653829574585,0.01751080428071767,0.008755402140358835,0.11652212949800494,0.803565437670609,0.022196591798604857,0.4572687224669604,2.0,0.40956365095380437,0.08184909680858254,swaps/locked_outer__nato_outer_o4__train_strict_core__test_strict_core__arpls_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
4,nato_outer_o4__train_strict_core,nato_outer_o4__train_strict_core__test_strict_core,strict_core,minimal_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,1133419213,124,True,True,True,0.08939298242330551,0.02180534228682518,0.061292581260204315,0.005990166217088699,0.1246771514415741,0.7479220628738403,0.5018463730812073,0.06129258322186689,0.030646291610933445,0.18673339290433202,0.5018463749027003,0.019616417178162374,0.4681528662420382,2.0,0.6048698436985449,0.0936981588602066,swaps/locked_outer__nato_outer_o4__train_strict_core__test_strict_core__minimal_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
