figure_id,scope,phase,title,aggregation_unit,data_source,tikz_path,html_path,manuscript_role,status
F29,S,P09,Open-set ROC and precision-recall curves,held task,open-set row and master scores,figures/tikz/F29_open_roc_pr.tex,figures/html/F29_open_roc_pr.html,Secondary open-set result,planned
F30,S,P09,OSCR and known-coverage operating curves,held task,open-set thresholds,figures/tikz/F30_oscr_coverage.tex,figures/html/F30_oscr_coverage.html,Secondary open-set result,planned
F31,S,P09,Held-chemical open-set effect forest,held station-chemical task,open-set metrics,figures/tikz/F31_open_task_forest.tex,figures/html/F31_open_task_forest.html,Open-set heterogeneity,planned
F32,E,P10,Attribution and native-spectrum correspondence,spectrum and window,attribution tables plus native sources,figures/tikz/F32_attribution.tex,figures/html/F32_attribution.html,Explainability supplement,planned
F33,S,P10,Structured error taxonomy,domain and failure category,error audit,figures/tikz/F33_error_taxonomy.tex,figures/html/F33_error_taxonomy.html,Failure analysis,planned
F34,P,P11,Promotion-gate evidence dashboard,gate,decision gate evidence,figures/tikz/F34_promotion_dashboard.tex,figures/html/F34_promotion_dashboard.html,Final evidence map,planned
F35,S,P08,Platform-family preprocessing effect support and fallback,domain and platform family,family policy selections and paired metrics,figures/tikz/F35_family_preprocessing_policy.tex,figures/html/F35_family_preprocessing_policy.html,Family-aware policy result,planned
F36,S,P08,Identity-blind QC routing effect and stability,domain and policy action,QC gates action logs and paired metrics,figures/tikz/F36_qc_preprocessing_policy.tex,figures/html/F36_qc_preprocessing_policy.html,QC-adaptive policy result,planned
F37,S,P11,Preprocessing-by-model interaction contrasts,domain,paired factorial policy and model contrasts,figures/tikz/F37_policy_model_interaction.tex,figures/html/F37_policy_model_interaction.html,Factorial interaction result,planned
F38,S,P03,Classical unseen-instrument domain performance and support,held domain,classical C09 metrics and endpoint coverage,figures/tikz/F38_classical_t3_domains.tex,figures/html/F38_classical_t3_domains.html,Classical transfer diagnostic,planned
F39,S,P03,Within-station versus unseen-instrument classical performance,held domain,classical fixed-family T1 and T3 metrics,figures/tikz/F39_classical_t1_t3.tex,figures/html/F39_classical_t1_t3.html,Acquisition-shift diagnostic,planned
F40,S,P03,Spectrum versus instrument-balanced master performance,held domain,classical C09 paired aggregation metrics,figures/tikz/F40_classical_spectrum_master.tex,figures/html/F40_classical_spectrum_master.html,Aggregation diagnostic,planned
F41,S,P03,Classical unseen-instrument confusion matrices,class within held domain,classical C09 pooled confusion,figures/tikz/F41_classical_confusion.tex,figures/html/F41_classical_confusion.html,Classical error diagnostic,planned
F42,S,P03,Classical unseen-instrument calibration reliability,confidence bin,classical C09 calibrated predictions,figures/tikz/F42_classical_calibration.tex,figures/html/F42_classical_calibration.html,Classical calibration diagnostic,planned
F43,S,P03,Classical negative controls and acquisition confounding,held domain,classical C09 real permutation metadata and prior controls,figures/tikz/F43_classical_controls.tex,figures/html/F43_classical_controls.html,Validity control diagnostic,planned
